"Global_Index", "x_coord", "y_coord", "Pressure", "C<sub>p</sub>", "Mach"
98, 9.723182005339051e-08, -4.003755163228592e-03, 1.013437770021355e+05, 3.065561102286383e-01, 2.446464357793450e-02
99, 2.832914728889235e-05, -2.598750060461221e-03, 1.013213526304726e+05, -5.954749362188490e-02, 2.699526017457743e-02
100, 1.195210619524212e-04, -1.196400912732368e-03, 1.013221862435427e+05, -4.593780351365823e-02, 2.909052084893194e-02
101, 5.031347648600286e-04, 1.678615120664332e-03, 1.013214025828092e+05, -5.873196439513803e-02, 3.202815687793236e-02
102, 1.159891054147484e-03, 4.586179529177213e-03, 1.012936333926879e+05, -5.120958638285424e-01, 3.489446573969187e-02
103, 2.117369819965012e-03, 7.572775814854747e-03, 1.012853169063245e+05, -6.478720485426807e-01, 3.735976478611769e-02
104, 3.427841626897253e-03, 1.069436839464256e-02, 1.012714356465083e+05, -8.744995465652564e-01, 3.957811928578280e-02
105, 5.132226976418132e-03, 1.394645783512376e-02, 1.012605350515767e+05, -1.052464269437658e+00, 4.145887763577005e-02
106, 7.275935469078034e-03, 1.732563719967893e-02, 1.012506593481442e+05, -1.213696462317845e+00, 4.300650820038487e-02
107, 9.898174341607851e-03, 2.081489826658688e-02, 1.012425982428302e+05, -1.345303258301354e+00, 4.424220208871438e-02
108, 1.302799302369005e-02, 2.439121049578303e-02, 1.012366897947080e+05, -1.441765455021153e+00, 4.519035135344817e-02
109, 1.666903362090742e-02, 2.801373601372651e-02, 1.012321236713790e+05, -1.516312658908172e+00, 4.589523170472064e-02
110, 2.085123060975259e-02, 3.167505715495025e-02, 1.012291444899449e+05, -1.564951215025694e+00, 4.639035678692141e-02
111, 2.555571665182873e-02, 3.533229411593314e-02, 1.012273988112389e+05, -1.593451423416621e+00, 4.671953187659447e-02
112, 3.079374928791381e-02, 3.897534425277244e-02, 1.012264819036637e+05, -1.608420991917845e+00, 4.691661636301454e-02
113, 3.655693137027282e-02, 4.258222993875938e-02, 1.012263265964166e+05, -1.610956560972176e+00, 4.700445017796817e-02
114, 4.283412369572866e-02, 4.613551155830347e-02, 1.012267008722321e+05, -1.604846078728728e+00, 4.700286793743268e-02
115, 4.962287945366540e-02, 4.962464914711088e-02, 1.012275383709533e+05, -1.591172950907294e+00, 4.693618944961624e-02
116, 5.691045682501622e-02, 5.303649973394345e-02, 1.012286257857928e+05, -1.573419655625738e+00, 4.681712558399963e-02
117, 6.468404396512387e-02, 5.635933753625956e-02, 1.012298829457882e+05, -1.552895075858278e+00, 4.665455565469909e-02
118, 7.293997912111427e-02, 5.958776654235501e-02, 1.012314718918540e+05, -1.526953707701630e+00, 4.646538591690341e-02
119, 8.165539257570162e-02, 6.270949962047012e-02, 1.012329630304173e+05, -1.502609159274443e+00, 4.625637785829221e-02
120, 9.082739289497693e-02, 6.571947282042290e-02, 1.012346149176270e+05, -1.475640204705115e+00, 4.603240315590262e-02
